1980,"$50,000 Letterbox",Perth Western Australia 
2006,"10 Items or Less",Reseda Los Angeles California 
2000,"106 & Park Top 10 Live",CBS Broadcast Center Manhattan New York City New York 
2012,"13 Steps Down",Notting Hill London England 
2012,"18.0",Seville Seville Andalucía 
2013,"1916 Seachtar Dearmadta",Kilmainham Jail Dublin County Dublin 
1967,"1967 World Series",Fenway Park - 4 Yawkey Way Boston Massachusetts 
2002,"2002 FIFA World Cup",Kobe Wing Stadium Kobe Hyogo 
2006,"2006 FIFA World Cup",Fritz-Walter-Stadion Kaiserslautern Rhineland-Palatinate 
2008,"2008 UEFA European Football Championship",Stade de Suisse Wankdorf Bern Kanton Bern 
2003,"20h10 pétantes",Plage du Noga-Hilton Cannes Alpes-Maritimes 
2002,"24/7: Airport",JFK International Airport Jamaica Queens New York City New York 
2010,"25 miradas, 200 minutos",Federal District 
1957,"26 Men",Cudia City Studios Phoenix Arizona 
2017,"2Real4U",751 Harlem Street Youngstown Ohio 
2008,"3 Minute Wonder: The Place Prize",The Beach Brighton East Sussex England 
2013,"50 Shades of Girls",Sherman Oaks Los Angeles California 
2004,"60 Minute Makeover",Hammersmith London England 
2004,"60 Minute Makeover",Warwick Warwickshire England 
2014,"616",74 Aveling Park Road Walthamstow London England 
1982,"6:55 Special",BBC Pebble Mill Studios Birmingham Warwickshire England 
2017,"9JKL",Stage 2 CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California 
1997,"A Dance to the Music of Time",Luton Hoo Estate Luton Bedfordshire England 
2016,"A Garota da Moto",Rua Souza Lima 287 Barra Funda São Paulo São Paulo 
2000,"A History of Britain",Arbroath Angus Scotland 
2000,"A History of Britain",Carlisle Cumbria England 
2000,"A History of Britain",Dunfermline Abbey Dunfermline Fife Scotland 
2000,"A History of Britain",Great Ormond Street Hospital 40-41 Queen Square Bloomsbury London England 
2000,"A History of Britain",Kildrummy Castle Kildrummy Aberdeenshire Scotland 
2000,"A History of Britain",Old South Meeting House - 310 Washington Street Boston Massachusetts 
2000,"A History of Britain",Tilbury Essex England 
2003,"A House That's Just Like Yours",Richmond Surrey England 
1999,"A Life of Grime",Salford Greater Manchester England 
1979,"A Man Called Intrepid",EMI Elstree Studios Borehamwood Hertfordshire England 
2004,"A Place by the Sea",Stonehaven Aberdeenshire Scotland 
1984,"A Woman of Substance",Finkle Street Richmond North Yorkshire England 
2004,"A miña sogra e máis eu",Santiago de Compostela A Coruña Galicia 
2016,"Actors Vs",Sydney New South Wales Building 61 Fox Studios Australia 38 Driver Ave 
2010,"Adolfo Suárez",Valladolid Valladolid Castilla y León 
1952,"Adventures of Superman",Corriganville Ray Corrigan Ranch Simi Valley California 
2017,"After Trek",CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California 
1999,"Aftershock: Earthquake in New York",New York County Courthouse - 60 Centre Street New York City New York 
2011,"Ai hui lai",Fata'an Guangfu Hualien 
1984,"Airwolf",Square of Warriors Backlot Universal Studios - 100 Universal City Plaza Universal City California 
1967,"Aktenzeichen XY ungelöst",FSM Unterföhring Bavaria 
1971,"Alias Smith and Jones",Alabama Hills Lone Pine California 
2001,"Alias",Westwood Los Angeles California 
1989,"Alien Nation",Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd. Agua Dulce California 
2001,"All About Us",Columbia/Sunset Gower Studios - 1438 N. Gower Street Hollywood Los Angeles California 
1978,"All Creatures Great and Small",Simonstone Hall Simonstone Hawes North Yorkshire England 
1972,"America",Dog Canyon Alamogordo New Mexico 
1972,"America",Groton Suffolk England 
1972,"America",Swanson Farm Disputanta Virginia 
2008,"America's Wild Spaces",Katahdin Stream Campground Baxter State Park Maine 
2016,"American Crime Story",Hollywood Riviera Studios Torrance California 
2016,"American Crime Story",Omni Los Angeles Hotel at California Plaza - 251 S Olive St Los Angeles California 
2002,"American Dreams",Venice High School - 13000 Venice Boulevard Venice Los Angeles California 
2011,"American Horror Story",Los Angeles California 
2013,"American Psycho",West Hills Los Angeles California 
1997,"An Unsuitable Job for a Woman",Cliveden Estate Buckinghamshire England 
1982,"Andy Robson",Thorpe Perrow North Yorkshire England 
1999,"Angel",Park Plaza Hotel - 607 S. Park View Street Los Angeles California 
2001,"Animal Precinct",Roosevelt Island New York City New York 
1985,"Anne of Green Gables",Doon Pioneer Village Waterloo Ontario 
1981,"Another Life",CBN Broadcast Center - 977 Centerville Turnpike Virginia Beach Virginia 
1989,"Another Way of Telling",St Briavels Gloucestershire England 
1997,"Antiikkia, antiikkia",Utö Lansi-Turunmaa 
1979,"Antiques Roadshow",Magna Centre Rotherham South Yorkshire England 
1971,"Appointment with Destiny",Boothill Graveyard Tombstone Arizona 
1997,"Aquila",Black Rock Cheddar Gorge Cheddar Somerset England 
1979,"Archie Bunker's Place",Queensboro Bridge Manhattan New York City New York 
1989,"Around the World in 80 Days",BBC Television Centre Wood Lane Shepherd's Bush London England 
2012,"Arrow",Hatley Castle Royal Roads Colwood British Columbia 
2014,"Artistically Challenged",Brooklyn New York City New York 
1992,"As Time Goes By",Hambleden Buckinghamshire England 
2015,"Ass Drunkholes",Leicester Leicestershire England 
1956,"Assignment Foreign Legion",Beaconsfield Studios Beaconsfield Buckinghamshire England 
2001,"Auction House",Putney London England 
1983,"Auf Wiedersehen, Pet",North Rhine-Westphalia 
1983,"Auf Wiedersehen, Pet",Marbella Málaga Andalucía 
2012,"Aurora Short Film Festival",Sydney Opera House - 2 Macquarie Street Sydney New South Wales 
1989,"Australia's Most Wanted",ATN-7 Studios - 61 Mobbs Lane Epping Sydney New South Wales 
2016,"Away From it All",Woodbury Common Devon England 
1978,"B.J. and the Bear",Walt Disney's Golden Oak Ranch - 19802 Placerita Canyon Road Newhall California 
2012,"Backstage BYU",Brigham Young University Provo Utah 
2015,"Backstrom",Allied Shipyard North Vancouver British Columbia 
2013,"Bail Out",Mancuso's Italian Ristorante White Settlement Texas 
2004,"Balzakovskiy vozrast, ili Vse muzhiki svo...",Moscow 
1970,"Barefoot in the Park",Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California 
2000,"Bargain Hunt",Derby Derbyshire England 
2000,"Bargain Hunt",Harrogate North Yorkshire England 
2000,"Bargain Hunt",Norwich Norfolk England 
2013,"Barna Hedenhös uppfinner julen",Kaknästornet Norra Djurgården Stockholm Stockholms län 
1992,"Barney & Friends",Building One Studios at Las Colinas - 6301 North O'Connor Road Irving Texas 
2009,"Battle of the Blades",Maple Leaf Gardens Toronto Ontario 
2005,"Battle of the Network Reality Stars",Pepperdine University - 24255 Pacific Coast Highway Malibu California 
2003,"Battlestar Galactica",Vancouver Film Studios Vancouver British Columbia 
1950,"Beat the Clock",Ritz Theatre New York City New York 
1964,"Beauty and the Beast",ATN-7 Studios - 61 Mobbs Lane Epping Sydney New South Wales 
1981,"Bergerac",Beach St Brelade's Bay Jersey 
2003,"Berglunds begravningar",Gärdet Stockholm Stockholms län 
2015,"Better Call Saul",Albuquerque Studios - 5650 University Boulevard SE Albuquerque New Mexico 
2001,"Better Sex",Halifax West Yorkshire England 
1990,"Beverly Hills, 90210",Van Nuys Los Angeles California 
1989,"Biala wizytówka",Ksiaz Walbrzych Dolnoslaskie 
2000,"Big Brother",Bow London England 
2006,"Big Love",Capitol Hill Salt Lake City Utah 
1999,"Bill Bryson: Notes from a Small Island",Morecambe Lancashire England 
1993,"Bill Nye, the Science Guy",Washington 
2001,"Bill Oddie Goes Wild",New Forest Hampshire England 
1952,"Billy Bunter of Greyfriars School",Gaumont-British Studios Lime Grove Shepherd's Bush London England 
1979,"Billy",20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California 
2015,"BioHazard",Blackpool Lancashire England 
1978,"Blake's 7",New Forest Hampshire England 
2005,"Bleak House",Balls Park Hertford Hertfordshire England 
2005,"Blind Justice",20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California 
2001,"Blood of the Vikings",The British Library St. Pancras London England 
1985,"Blott on the Landscape",Ludlow Shropshire England 
2005,"Blueprint for Disaster",Miller Park - 1 Brewers Way Milwaukee Wisconsin 
2002,"Bnot Brown",Manne Katz Library Merkaz HaCarmel Haifa 
2010,"Boardwalk Empire",Catalpa Avenue Ridgewood Queens New York City New York 
2010,"Boardwalk Empire",Washington Heights Manhattan New York City New York 
1992,"Bob",Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California 
2012,"Bomb Girls",Parkwood Estate Oshawa Ontario 
1959,"Bonanza",Round Hill Pines Beach Lake Tahoe California 
2009,"Bondi Vet",Bondi Junction Veterinary Hospital Bondi Junction New South Wales 
2003,"Boohbah",Tarifa Cádiz Andalucía 
1986,"Boon",Tower Ballroom Edgbaston Birmingham West Midlands England 
2004,"Boot Sale Challenge",Chelford Cheshire England 
2000,"Border Cafe",Blaenavon Torfaen Gwent Wales 
2011,"Borgia",Cinecittà Studios Cinecittà Rome Lazio 
2000,"Boston Public",El Segundo High School - 640 Main Street El Segundo California 
1976,"Break the Bank",ABC Television Center - 4151 Prospect Avenue Los Angeles California 
2013,"Breaker Morant: The Retrial",Towers Hill Charters Towers Queensland 
2013,"Breaker Morant: The Retrial",Buckingham Palace Westminster London England 
2008,"Breaking Bad",2016 Ridgecrest Dr SE Albuquerque New Mexico 
1999,"Bremner, Bird and Fortune",York Street Twickenham Middlesex England 
1981,"Brideshead Revisited",Tatton Park Knutsford Cheshire England 
2002,"Britain's Best Buildings",Harlech Castle Harlech Gwynedd Wales 
2003,"Britain's Finest",Chatsworth House Edensor Derbyshire England 
2003,"Britain's Finest",Roman Baths Bath Somerset England 
2004,"British Isles: A Natural History",Southampton Hampshire England 
1999,"Brotherly Love",Strachur Argyll and Bute Scotland 
1980,"Bröderna Lejonhjärta",Den Gamle By Århus Jylland 
2002,"Building of Britain",Houses of Parliament Westminster London England 
2012,"Bunheads",Sunset Gower Studios - 1438 N. Gower Street Hollywood Los Angeles California 
1962,"CBS News Extra: Project Mercury flight of Frienship 7",General Dynamics San Diego California 
1998,"CD:UK",The London Studios Upper Ground South Bank Lambeth London England 
1998,"CMT Hit Trip",Grand Ole Opry - 2802 Opryland Drive Nashville Tennessee 
1993,"Caesar's Challenge",Caesars Palace - 3570 Las Vegas Boulevard South Las Vegas Nevada 
2003,"Café de Wereld",Motek Studio Amsterdam Noord-Holland 
2012,"Call the Midwife",Chatham Historic Dockyard Chatham Kent England 
2014,"Camp Abercorn: Shorts",Lake Arrowhead San Bernardino National Forest California 
2012,"Cannes Eco 2012",Cannes Film Festival Cannes Alpes-Maritimes 
1982,"Capitol",Studio 31 CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California 
2009,"Caprica",Gastown Vancouver British Columbia 
1980,"Casa de muñecas",Pacheco Buenos Aires Federal District 
2017,"Cascade",Silver Dream Factory 1181 N Knollwood Circle Anaheim California 
2005,"Cash Cab",Liverpool Merseyside England 
2014,"Castles: Britain's Fortified History",Caerlaverock Castle Dumfries Dumfries & Galloway Scotland 
1986,"Casualty",Waterloo Road St Phillips Bristol England 
2004,"Cathedrals of the Game",Minute Maid Park - 501 Crawford Street Houston Texas 
2013,"Cathedrals",Southwark Cathedral Southwark London England 
2014,"Celebrity Name Game",Raleigh Studios - 5300 Melrose Avenue Hollywood Los Angeles California 
2003,"Celebrity Poker Showdown",Palms Casino Resort - 4321 W. Flamingo Road Las Vegas Nevada 
1974,"Celebrity Sweepstakes",NBC Studios - 3000 W. Alameda Avenue Burbank California 
1999,"Cerro Alegre",Recreo Viña del Mar Región de Valparaíso 
2007,"Championship Gaming Series North American League",Raleigh Manhattan Beach Studios - 1600 Rosecrans Avenue Manhattan Beach California 
1997,"Changing Rooms",Earlsfield London England 
1997,"Changing Rooms",Peckham London England 
1984,"Charles in Charge",Universal Studios - 100 Universal City Plaza Universal City California 
1998,"Cheap Theatrix",Encino Los Angeles California 
2007,"Chelsea Lately",Westside Media Center - 12312 W Olympic Blvd Los Angeles California 
1977,"Children of the Stones",Avebury Wiltshire England 
2014,"Children's Hospital: The Chaplains",Birmingham Children's Hospital Birmingham West Midlands England 
2013,"Choices",Comegno Law Firm Philadelphia Pennsylvania 
1999,"Chuck Finn",South Australian Film Corporation Hendon Adelaide South Australia 
1995,"Cinema 100",Sant Joan Despí Barcelona Catalonia 
